Model,Accuracy,Precision,Recall,F1-score,ROC-AUC
Logistic Regression,0.9593023255813954,0.7,0.6363636363636364,0.6666666666666666,0.9796725014116318
Random Forest,0.9534883720930233,0.7142857142857143,0.45454545454545453,0.5555555555555556,0.9712027103331451
XGBoost,0.9651162790697675,0.7777777777777778,0.6363636363636364,0.7,0.9593450028232637
